,0,1,2,3,4
0,0.046425007,0.4611368,0.29621795,0.11820427,0.07801604
1,0.04466728,0.49224484,0.33153448,0.05894544,0.07260797
2,0.061244193,0.51529557,0.31864846,0.03045319,0.07435858
3,0.06803024,0.5504438,0.16193722,0.06941747,0.15017127
4,0.15303133,0.5519726,0.041600157,0.032777004,0.2206189
5,0.13455234,0.52812773,0.13473143,0.0463696,0.15621884
6,0.07530873,0.5666462,0.023103902,0.07857424,0.2563669
7,0.04610927,0.5285886,0.10673165,0.09506879,0.22350179
8,0.036568016,0.49700952,0.08987238,0.07445651,0.30209357
9,0.06673106,0.5119781,0.03561777,0.041953657,0.34371936
10,0.025108911,0.54124755,0.12093962,0.043474574,0.26922944
11,0.011993282,0.5746962,0.08980132,0.03583723,0.28767198
12,2.2098243e-08,0.5300749,0.12498602,0.045882687,0.29905644
13,1.6558724e-08,0.55483556,0.13703734,0.049028248,0.2590989
14,0.016534317,0.5742488,0.16089612,0.04895713,0.1993637
15,0.014104417,0.5455676,0.15374021,0.03420474,0.25238305
16,8.068259e-09,0.58519346,0.13149537,0.05372758,0.22958358
17,0.02018351,0.54868674,0.07765173,0.06491692,0.28856114
18,2.8053012e-07,0.5231855,0.07908827,0.070679136,0.32704687
19,3.0227692e-08,0.50002915,0.059669968,0.14980079,0.29050002
20,0.018064488,0.54291236,0.0046000686,0.18549836,0.24892475
21,0.03890918,0.4265895,1.33486155e-05,0.29344282,0.24104519
22,0.056768436,0.4613774,0.041842885,0.30175966,0.13825159
23,0.08048927,0.24036352,0.024655227,0.48293653,0.17155546
24,0.11900718,0.28029758,0.10062016,0.4154219,0.08465322
25,0.12645888,0.30060533,0.109467536,0.31098107,0.15248722
26,0.16055769,0.033513602,0.2419282,0.4471797,0.11682084
27,0.195503,0.001532984,0.41517726,0.27235335,0.11543338
28,0.18896979,0.09949328,0.1977196,0.2932048,0.22061244
29,0.27676997,0.07352319,0.15592356,0.20320904,0.29057422
30,0.31390738,7.986871e-06,0.11188393,0.15724702,0.41695374
31,0.3118658,5.957671e-05,0.18104915,0.11015532,0.39687008
32,0.31801358,7.940798e-06,0.20218293,0.192642,0.2871535
33,0.3803326,2.6918306e-06,0.19502321,0.19389023,0.23075122
34,0.45696437,0.03731011,0.21530078,0.17622574,0.1141989
35,0.44391337,8.18379e-06,0.2613397,0.15651755,0.13822116
36,0.40288407,1.8437927e-06,0.28956077,0.23038776,0.077165514
37,0.33092737,8.249074e-06,0.28105223,0.25628445,0.13172765
38,0.44450638,1.4768742e-06,0.19186771,0.24017242,0.12345205
39,0.30220127,6.9684334e-06,0.32195148,0.3234561,0.05238418
40,0.021179298,0.4784404,0.30148,0.10284307,0.09605726
41,0.052129228,0.50237,0.33453307,0.07958641,0.031381346
42,0.04956164,0.53252155,0.29216,0.071824625,0.053932182
43,0.055600222,0.51934725,0.26122046,0.04311409,0.12071798
44,0.06732808,0.54594773,0.17902182,0.04964641,0.15805604
45,0.07666703,0.53456104,0.1252636,0.029572455,0.23393576
46,0.09394732,0.5452724,0.12331541,0.07004218,0.16742267
47,0.0650316,0.5496558,0.18536378,0.036108404,0.16384041
48,0.027508732,0.5255275,0.17547314,0.0456364,0.22585422
49,0.028681215,0.51897085,0.17270188,0.044884354,0.23476171
50,0.02962535,0.542027,0.14669506,0.036944143,0.24470845
51,2.0684348e-08,0.528959,0.16903895,0.03242871,0.26957324
52,0.0231114,0.57020843,0.14245068,0.0074988855,0.2567306
53,0.020914359,0.5441892,0.104024105,0.036953077,0.29391927
54,0.0169235,0.5555504,0.088052526,0.034479782,0.30499384
55,0.00026694004,0.5766496,0.12394172,0.044901446,0.25424024
56,0.023998654,0.5365681,0.072218694,0.06896414,0.29825035
57,3.803321e-05,0.5381724,0.11948397,0.06512877,0.2771769
58,0.020736437,0.5189626,0.07681552,0.10232277,0.28116262
59,0.031337705,0.5452256,0.02904174,0.14221571,0.2521792
60,0.0548545,0.5252454,0.00023142046,0.22265868,0.1970099
61,0.041683596,0.52909994,0.015814615,0.19031528,0.22308661
62,0.057534907,0.35401946,0.056059893,0.34589127,0.18649448
63,0.14224958,0.41725627,3.9246577e-05,0.33917245,0.10128252
64,0.14935723,0.30315077,0.1115607,0.27272472,0.16320658
65,0.16436177,0.24990195,0.106115095,0.37131253,0.10830871
66,0.09390538,0.15997161,0.25352165,0.36522648,0.12737487
67,0.13593565,0.19564922,0.31473273,0.24328636,0.11039615
68,0.19464616,0.06265652,0.43336207,0.15507704,0.15425819
69,0.26880562,6.0110266e-05,0.40992096,0.12548321,0.19573012
70,0.24562527,8.284581e-05,0.30695084,0.10644403,0.34089705
71,0.41890043,0.04757549,0.17119607,0.13599762,0.22633035
72,0.35305992,2.7089409e-06,0.19599174,0.20128371,0.24966198
73,0.44662935,5.657555e-06,0.22547658,0.10306413,0.22482425
74,0.42125452,7.009777e-06,0.32200393,0.18436489,0.07236966
75,0.539881,1.6154909e-06,0.20447975,0.15478024,0.10085739
76,0.49638864,2.183352e-06,0.30527326,0.15324996,0.045085885
77,0.5612437,9.479328e-07,0.23126721,0.17681903,0.030669067
78,0.46020168,8.539048e-07,0.2928708,0.19175556,0.05517108
79,0.36467117,9.0915523e-07,0.29724014,0.27834648,0.059741408
80,0.077634804,0.51030713,0.25173566,0.09588932,0.06443318
81,7.501707e-09,0.499921,0.30140334,0.10916724,0.08950836
82,0.021716464,0.53189605,0.33316946,0.032435823,0.08078226
83,0.053780545,0.5613763,0.2636513,0.00691435,0.114277534
84,0.047896266,0.5239094,0.24802057,0.01513907,0.16503468
85,0.08410568,0.5458358,0.255736,0.014265521,0.10005704
86,0.07476008,0.50772774,0.23184551,0.045016874,0.14064981
87,0.03268704,0.49281955,0.33975652,0.00828055,0.12645635
88,0.02598447,0.5018158,0.3315055,0.033061903,0.10763225
89,0.019313287,0.5440235,0.22580679,0.04228196,0.16857444
90,0.030503789,0.53184086,0.2090006,0.00685049,0.22180422
91,2.2512623e-08,0.51354647,0.23420912,0.03218504,0.22005935
92,0.033443086,0.550566,0.14957389,0.011997605,0.25441945
93,2.546545e-08,0.53848225,0.289366,0.0500882,0.12206349
94,2.478098e-08,0.55996615,0.13490224,0.033574846,0.27155674
95,6.810822e-09,0.5146643,0.1610825,0.035796437,0.28845677
96,0.0101262275,0.53006476,0.0784757,0.09094567,0.2903876
97,0.0164467,0.5233779,0.085606836,0.111270174,0.26329848
98,0.039015986,0.507259,0.01009415,0.1345036,0.30912724
99,0.009460435,0.5008275,0.054316517,0.14266261,0.29273295
100,0.07758639,0.5166134,0.0002925114,0.20143388,0.20407376
101,0.081445,0.4670183,0.07450481,0.24160309,0.13542874
102,0.095488705,0.41410962,0.042370163,0.27738142,0.1706501
103,0.10650186,0.27661085,0.08690822,0.36039782,0.16958122
104,0.14542155,0.30618155,0.14012101,0.36799896,0.040276933
105,0.11933711,0.30689406,0.34684184,0.19804138,0.028885573
106,0.17331605,0.2628947,0.29229304,0.19135453,0.08014168
107,0.16682474,0.2446538,0.33781317,0.18103799,0.069670364
108,0.17805558,0.19133814,0.44805273,0.12881897,0.053734563
109,0.175305,0.10645566,0.4706074,0.14430732,0.10332463
110,0.18488187,0.09495036,0.45281947,0.07738981,0.18995847
111,0.34211156,0.15544191,0.25963336,0.07330562,0.16950752
112,0.31711626,0.0848173,0.26441735,0.22334935,0.11029975
113,0.41232035,5.8786467e-05,0.36819023,0.12624033,0.09319034
114,0.5570825,5.9120325e-06,0.26820615,0.13442826,0.040277217
115,0.4859415,0.005654072,0.24565971,0.1739112,0.08883341
116,0.6065622,3.3461815e-06,0.22066224,0.1290536,0.043718737
117,0.6841052,5.474214e-07,0.101340875,0.1652511,0.04930223
118,0.5015214,9.7549755e-06,0.29634732,0.1518282,0.05029326
119,0.44534135,0.029118005,0.31963733,0.16909076,0.03681257
120,0.08796201,0.47086197,0.27664876,0.09709539,0.06743194
121,0.034894217,0.51833093,0.31421915,0.03605583,0.09649979
122,0.029311791,0.55471444,0.25918913,0.057211917,0.09957274
123,0.023935925,0.5207691,0.3208517,0.03826995,0.096173294
124,0.018687,0.53946775,0.30574036,0.02380366,0.112301305
125,0.042476438,0.5153463,0.32071233,0.006869122,0.114595845
126,0.011551024,0.4955423,0.40181756,0.017878328,0.07321078
127,0.023312297,0.4908243,0.3840019,0.014503711,0.08735782
128,0.033202704,0.50702786,0.3291445,0.022680195,0.1079447
129,0.04978894,0.4712015,0.41706604,0.0067605353,0.05518297
130,6.5426513e-09,0.4905984,0.41688704,0.004252331,0.08826217
131,0.05743936,0.5000617,0.23665273,0.041605547,0.16424067
132,2.994186e-08,0.5253773,0.3310511,0.039191466,0.104380146
133,0.036098983,0.5271444,0.18470947,0.063308775,0.18873844
134,7.1027326e-09,0.5077418,0.21637931,0.052866932,0.22301193
135,0.019721612,0.54135364,0.14637159,0.050790012,0.2417632
136,2.3372053e-08,0.5279893,0.14564574,0.0782689,0.248096
137,0.025142895,0.50834405,0.05434014,0.118731335,0.29344153
138,0.02447013,0.474188,0.11453641,0.054811772,0.33199367
139,0.027963605,0.50316447,0.08143733,0.15721384,0.23022082
140,0.046224784,0.5283997,0.07543701,0.13138148,0.21855707
141,0.106228285,0.46574432,0.05312748,0.23667596,0.13822396
142,0.18491131,0.5162023,0.04508467,0.23061489,0.023186814
143,0.16276343,0.3067688,0.16638178,0.23572832,0.1283577
144,0.095379874,0.25829774,0.2817096,0.25350812,0.11110464
145,0.16151701,0.36025882,0.23443839,0.2437786,7.1036343e-06
146,0.15009572,0.18933418,0.45050055,0.1510002,0.059069343
147,0.13024712,0.30206126,0.38607857,0.14138691,0.040226102
148,0.13514547,0.187917,0.53480995,0.059423503,0.08270407
149,0.18016274,0.21369754,0.47188944,0.08553789,0.048712343
150,0.19131829,0.12984665,0.51094884,0.079185344,0.08870093
151,0.25231925,0.07818356,0.38994738,0.13936825,0.14018159
152,0.3755888,0.102755,0.3774258,0.12568659,0.018543756
153,0.38652822,0.08851303,0.2529025,0.2298171,0.04223913
154,0.5789067,6.402382e-06,0.19644675,0.15512906,0.069511026
155,0.43339992,4.664359e-06,0.36832926,0.11838521,0.07988093
156,0.6261641,2.0897e-06,0.2367088,0.10898272,0.028142365
157,0.58834887,1.2763493e-06,0.19863172,0.16787727,0.045140844
158,0.60893905,1.2193806e-06,0.260396,0.10175823,0.02890547
159,0.31843075,8.771822e-06,0.5107977,0.12721758,0.04354519
160,0.064047515,0.4869562,0.1760484,0.09406319,0.17888466
161,0.05364822,0.47926122,0.38578627,0.027264025,0.05404021
162,0.021429125,0.5065723,0.35265046,0.03417267,0.08517549
163,0.050375346,0.5098278,0.396449,0.0063829985,0.036964882
164,0.03229914,0.49976698,0.37337467,0.06868522,0.025873978
165,0.043181255,0.5037113,0.4000801,0.02363231,0.029395038
166,0.030992731,0.47704437,0.4010568,0.05166334,0.039242793
167,0.035636023,0.40965697,0.4415988,0.03244393,0.080664225
168,0.037755027,0.41938454,0.4411288,0.032663256,0.06906836
169,0.018553086,0.44638127,0.4797967,0.013667707,0.041601263
170,0.029944323,0.39363074,0.4613599,0.028352443,0.08671259
171,0.02762555,0.43453556,0.39522275,0.018633109,0.12398306
172,2.4281173e-08,0.47311318,0.46080267,0.034259077,0.03182506
173,6.712471e-09,0.46760494,0.42119166,0.02599755,0.08520584
174,6.484076e-09,0.4950206,0.39830485,0.020931877,0.08574271
175,6.7077384e-09,0.4881711,0.44590926,0.03492281,0.030996889
176,7.1994677e-09,0.5182425,0.2992065,0.06612051,0.11643056
177,0.029373437,0.41560128,0.2266037,0.02911002,0.29931158
178,0.038297404,0.51479346,0.19280282,0.08044256,0.17366375
179,0.045835998,0.5056815,0.086138226,0.081355676,0.2809886
180,0.06805332,0.34217593,0.20368001,0.20396295,0.18212773
181,0.07967123,0.35471702,0.19577084,0.2424781,0.12736282
182,0.16909519,0.33953652,0.144211,0.30784288,0.039314397
183,0.20522253,0.34187338,0.16585433,0.23323372,0.053816058
184,0.12656993,0.37354618,0.27415064,0.198605,0.027128274
185,0.14393392,0.32794136,0.35790846,0.15901129,0.011204949
186,0.1236914,0.45051697,0.32332706,0.10137027,0.0010942991
187,0.08103546,0.30642167,0.4189319,0.16274479,0.030866241
188,0.08615679,0.32142437,0.40692532,0.09719297,0.088300444
189,0.109103054,0.312645,0.47162843,0.09539691,0.0112265935
190,0.09803465,0.28452295,0.42095026,0.104416445,0.09207568
191,0.20864454,0.16863132,0.47201425,0.093916,0.05679391
192,0.25897944,0.09808337,0.3334038,0.25247818,0.057055272
193,0.30655974,0.143662,0.3973268,0.15244605,5.335137e-06
194,0.44587043,0.0831443,0.28145766,0.1773975,0.012130151
195,0.5249099,0.097521216,0.22646329,0.09700866,0.054096848
196,0.61037725,2.400825e-06,0.27837658,0.07724497,0.033998705
197,0.6414565,2.8591392e-06,0.28733504,0.025527023,0.045678552
198,0.56680965,0.023528539,0.29593092,0.08024826,0.033482682
199,0.4650501,0.010125371,0.42320454,0.085109085,0.016510937
200,0.048653655,0.4523966,0.28949913,0.049534164,0.15991646
201,0.012997734,0.46888384,0.41668466,0.04088456,0.060549185
202,0.046927325,0.47425833,0.45029658,1.34513956e-08,0.028517785
203,0.036263052,0.47451857,0.45100218,0.036672685,0.0015434588
204,0.027066534,0.4660227,0.4719019,0.030527674,0.0044811536
205,0.020611791,0.39889452,0.5140741,0.00629574,0.06012386
206,0.06210212,0.4011845,0.5228036,0.013871209,3.8565344e-05
207,0.049796086,0.3418491,0.5211924,0.03655191,0.05061049
208,0.010923027,0.4011819,0.53509146,0.033085626,0.019718004
209,0.03208565,0.34949216,0.5119137,0.013345206,0.09316329
210,0.0113671655,0.4119328,0.5395852,0.03625709,0.0008577598
211,2.0474374e-08,0.41379535,0.52291703,0.021143137,0.042144515
212,1.9420293e-08,0.4157611,0.5100101,0.021764599,0.052464217
213,0.011074617,0.4684853,0.5048611,1.7745249e-08,0.015578993
214,2.2321144e-08,0.47932032,0.4640177,0.011994053,0.04466792
215,7.1707515e-09,0.47151616,0.47647196,0.019964695,0.032047197
216,7.769556e-08,0.3771448,0.43775675,0.045861542,0.1392368
217,5.946525e-08,0.43151715,0.4217733,0.027627403,0.11908199
218,0.022403752,0.4609135,0.31653476,0.057913356,0.14223456
219,0.04221447,0.36849642,0.31831184,0.09947069,0.1715066
220,0.12790872,0.33622226,0.21301046,0.17044488,0.15241371
221,0.15821204,0.3702256,0.18437977,0.18817689,0.09900568
222,0.12625527,0.45500752,0.21733393,0.18523583,0.01616748
223,0.18555604,0.45361874,0.16241051,0.15682583,0.04158891
224,0.22361569,0.41485128,0.25374556,0.08795516,0.019832408
225,0.098185316,0.45637667,0.29819074,0.1299659,0.017281491
226,0.1402052,0.49603063,0.24063824,0.097943395,0.025182603
227,0.060885973,0.36752972,0.45127666,0.07288773,0.047419958
228,0.071643084,0.32924423,0.48228997,0.09355415,0.023268528
229,0.07061221,0.36549634,0.39552534,0.077852786,0.09051336
230,0.10852277,0.24346764,0.51383,0.09413989,0.04003975
231,0.11918804,0.1538175,0.49494666,0.1399923,0.092055574
232,0.18467702,0.22955504,0.4226308,0.15427007,0.008867089
233,0.332336,0.08483561,0.36230263,0.16697685,0.053548984
234,0.3400832,0.079985574,0.2579271,0.1732406,0.14876354
235,0.4026325,0.052673027,0.33511376,0.19509856,0.014482032
236,0.59998715,0.047527194,0.24272218,0.09861861,0.011144927
237,0.57893384,0.04707995,0.33333942,0.040638644,8.189863e-06
238,0.41823977,1.2946556e-05,0.4808114,0.035954725,0.06498119
239,0.37817857,1.2150868e-05,0.4622012,0.12111138,0.03849675
240,0.11797548,0.30534285,0.45348036,0.0753955,0.047805775
241,0.0623639,0.39783275,0.453003,0.02209646,0.06470396
242,0.06549954,0.44758382,0.44668704,0.0189454,0.021284228
243,0.02136786,0.4537289,0.5091469,0.01568019,7.61011e-05
244,0.033244245,0.42570838,0.5129338,0.027639898,0.00047365192
245,0.032898057,0.41677934,0.51122975,0.031109987,0.0079827905
246,2.7024516e-08,0.43498075,0.5308577,0.029365452,0.004796036
247,0.023246253,0.37738052,0.52411544,0.039216217,0.03604155
248,7.157114e-09,0.402836,0.55174845,0.030918311,0.014497224
249,4.3331113e-08,0.41957498,0.53919107,0.04059696,0.00063692615
250,0.04909918,0.3278529,0.57956505,0.04343959,4.322914e-05
251,7.881491e-09,0.3781946,0.56792206,0.049466025,0.0044172956
252,7.041376e-09,0.45201126,0.5304108,0.017480634,9.721414e-05
253,0.024458366,0.44496605,0.53052115,1.2173233e-08,5.439574e-05
254,2.994689e-08,0.44042346,0.5374704,0.015801156,0.006304872
255,7.1002004e-09,0.43064266,0.5273451,0.041839942,0.00017228718
256,0.013755892,0.36513048,0.52683806,0.026707387,0.06756814
257,3.5118774e-08,0.38815302,0.47152358,0.019736001,0.12058736
258,0.011679662,0.43461245,0.4180667,0.042181067,0.09346008
259,0.071655706,0.48000368,0.35426232,0.07800537,0.016072879
260,0.08811446,0.43229115,0.3035019,0.08235772,0.093734734
261,0.09956273,0.49307114,0.2976535,0.036635395,0.07307728
262,0.15816735,0.46090263,0.20120619,0.1644473,0.015276548
263,0.19690113,0.40174618,0.25337008,0.124535054,0.023447586
264,0.2987918,0.4181709,0.20770083,0.0719533,0.0033831429
265,0.16411702,0.43713483,0.2988558,0.090813704,0.009078601
266,0.024126684,0.5152104,0.33111784,0.10249096,0.027054157
267,0.07156193,0.42684147,0.37913334,0.096024126,0.026439155
268,0.07794789,0.43004912,0.3766427,0.05217255,0.06318775
269,0.05050222,0.48382187,0.36145008,0.09134475,0.012881024
270,0.07027761,0.49816677,0.27560857,0.14940631,0.0065407264
271,0.123933405,0.33030948,0.28049332,0.16380529,0.1014585
272,0.1359849,0.20227458,0.36730367,0.2612009,0.033235982
273,0.18839104,0.121687055,0.30151242,0.33059612,0.057813346
274,0.3544004,0.14324445,0.2292889,0.22898957,0.044076677
275,0.4112883,0.11603802,0.30896732,0.12815759,0.035548806
276,0.48974267,0.01702753,0.36836112,0.07403889,0.050829872
277,0.4651182,0.042875387,0.41797858,0.060925763,0.013102067
278,0.49390855,0.08163484,0.3887793,0.035674505,2.741112e-06
279,0.42059794,0.015347792,0.5071011,0.042972736,0.013980452
280,0.14978674,0.26945564,0.4931174,0.035779215,0.051861037
281,0.059750687,0.3129686,0.49594635,0.048523866,0.08281048
282,0.077863865,0.41398486,0.46706608,0.027136937,0.01394819
283,0.04290502,0.35729277,0.5219965,0.07769391,0.000111664056
284,0.014633594,0.44896686,0.51605964,0.015100956,0.0052388874
285,7.556249e-09,0.40034914,0.5514504,0.036611985,0.011588428
286,0.023656402,0.3725167,0.5579659,0.04565218,0.00020889837
287,7.1933477e-09,0.36457485,0.55167174,0.044829234,0.038924128
288,3.3938132e-08,0.37544504,0.57636255,0.04796477,0.00022751214
289,6.9440254e-09,0.4238419,0.56201386,0.0057062805,0.008437897
290,0.036983088,0.34455344,0.5889804,0.029433677,4.9407798e-05
291,2.8760969e-08,0.4682101,0.5306783,1.4069508e-08,0.0011115774
292,7.567091e-09,0.43710026,0.545975,0.016792526,0.00013215422
293,6.803973e-09,0.42876095,0.5543655,0.010860087,0.006013475
294,7.4353608e-09,0.4601475,0.51751775,0.022101339,0.0002334674
295,0.012618354,0.4146543,0.51984364,0.051364012,0.0015196147
296,6.6852245e-08,0.3881184,0.52665377,0.013637284,0.07159054
297,7.138094e-09,0.3621996,0.5063894,0.059606828,0.0718042
298,1.01089e-07,0.4390237,0.443205,0.03465274,0.08311847
299,0.018203508,0.4931583,0.356088,0.062081054,0.070469074
300,0.13314144,0.5105963,0.22241099,0.07553201,0.058319256
301,0.18658997,0.50117594,0.21864778,0.081114866,0.01247135
302,0.26892048,0.50207555,0.16134669,0.058477994,0.009179293
303,0.3930242,0.29695103,0.14713977,0.16284811,3.686153e-05
304,0.26205117,0.48743394,0.13527422,0.091764815,0.023475828
305,0.23655553,0.53445065,0.16576844,0.06319859,2.6786227e-05
306,0.23188381,0.40236482,0.30598444,0.059760943,5.994284e-06
307,0.14838958,0.4191219,0.3301327,0.1023219,3.406233e-05
308,0.066071324,0.52508724,0.3363455,0.05315863,0.019337386
309,0.06894605,0.51431805,0.2449577,0.13423136,0.037546773
310,0.07025631,0.4022472,0.29548964,0.21150143,0.020505426
311,0.0747104,0.400338,0.28168473,0.19825397,0.045012973
312,0.09287267,0.33970448,0.2632517,0.24756832,0.056602806
313,0.14733528,0.09110575,0.37660366,0.3436734,0.04128192
314,0.2430353,0.04328027,0.31321648,0.3230967,0.07737128
315,0.3754033,0.11747978,0.22952625,0.19084556,0.086745024
316,0.532621,0.08349319,0.26524323,0.066543,0.052099627
317,0.4504717,0.041634683,0.34826428,0.09006454,0.06956483
318,0.4953095,1.1773303e-05,0.4521373,0.017051907,0.035489514
319,0.47273874,0.0026641248,0.46195033,0.029183311,0.03346354
320,0.20604098,0.3458088,0.32832262,0.08482571,0.035001945
321,0.103998594,0.3323468,0.5072556,0.036798783,0.019600123
322,0.07534109,0.32982004,0.52532023,0.06948271,3.6021982e-05
323,0.022138355,0.33452958,0.5445173,0.098686144,0.0001286289
324,0.012572816,0.3337434,0.55465436,0.0712859,0.027743531
325,0.029093498,0.35545212,0.57095855,0.044178598,0.0003172385
326,6.9417063e-09,0.40515748,0.55736786,0.036954913,0.00051961606
327,4.8716664e-08,0.40420392,0.5757409,0.019958364,9.673823e-05
328,7.820996e-09,0.37171134,0.5754749,0.045011308,0.007802422
329,2.1811568e-08,0.36757958,0.57711643,0.05523085,7.308421e-05
330,0.0168787,0.378159,0.59042823,0.01450905,2.5009087e-05
331,7.32694e-09,0.41656572,0.5622451,0.021064965,0.00012425608
332,7.570538e-09,0.41305366,0.5651884,0.021521874,0.0002361429
333,6.507882e-08,0.4058872,0.5653748,0.02779147,0.00094649615
334,3.3056412e-07,0.3534267,0.58906657,0.019874088,0.037632313
335,6.7902004e-09,0.48627514,0.50758,0.003435751,0.002709108
336,1.2362207e-07,0.4118227,0.5046386,0.011990757,0.07154782
337,0.00011832224,0.35332692,0.5011114,0.035709094,0.109734274
338,6.7445844e-09,0.49644086,0.42734885,0.019399045,0.056811303
339,0.026018756,0.49954826,0.39382643,0.034981187,0.045625314
340,0.1294759,0.48092076,0.22857916,0.09502752,0.06599668
341,0.18507211,0.45790696,0.24251977,0.09493642,0.019564709
342,0.41673255,0.34082675,0.12090896,0.073497914,0.048033845
343,0.46867168,0.4049062,0.042745348,0.083661094,1.5677486e-05
344,0.35473642,0.4886373,0.09966827,0.03952655,0.01743148
345,0.28823972,0.5148607,0.14971839,0.03933268,0.007848592
346,0.27459896,0.51399475,0.1599997,0.051400058,6.51377e-06
347,0.20178497,0.5041469,0.2545611,0.039482407,2.4643881e-05
348,0.12834418,0.5138785,0.26026025,0.080314256,0.017202836
349,0.10111894,0.5278877,0.2269923,0.11548097,0.028520163
350,0.103166014,0.5206585,0.1681554,0.20763783,0.000382225
351,0.06458527,0.41904438,0.16525558,0.29238993,0.05872493
352,0.15193123,0.3247459,0.17490858,0.32177982,0.02663454
353,0.13717313,0.2900318,0.1561723,0.39930567,0.017317157
354,0.20863338,0.20505002,0.06875608,0.3939085,0.12365202
355,0.34557492,0.12468824,0.16767628,0.26384443,0.0982161
356,0.4199012,0.084762655,0.26736674,0.13128525,0.0966842
357,0.41174284,0.12946303,0.3750653,0.07280614,0.010922769
358,0.44762707,0.007366899,0.45320302,0.046338838,0.045464143
359,0.4441051,0.028517641,0.4293463,0.031050261,0.06698071
360,0.12680952,0.19375551,0.4066667,0.08275507,0.19001323
361,0.19726868,0.28909546,0.4104751,0.038406536,0.0647542
362,0.02553443,0.31042528,0.5273977,0.080359675,0.05628292
363,0.034883197,0.291992,0.5507952,0.054883264,0.06744626
364,0.022575032,0.32996476,0.5944974,0.036640696,0.0163222
365,2.7819366e-08,0.31619874,0.60049206,0.083238624,7.053475e-05
366,8.12783e-08,0.32509327,0.58518344,0.05747339,0.03224983
367,0.013499996,0.35306886,0.5601852,0.0717162,0.0015297745
368,0.02934094,0.32848686,0.59888864,0.04324283,4.0699644e-05
369,4.2519563e-08,0.40623236,0.57640743,0.017197235,0.00016301582
370,7.783839e-09,0.4045378,0.5930076,0.0023683019,8.623591e-05
371,7.47196e-09,0.41452616,0.5666184,0.005209318,0.013646136
372,7.66435e-09,0.41827428,0.56742615,0.006056427,0.008243049
373,7.3478184e-09,0.42172703,0.5668535,0.011342599,7.692523e-05
374,8.928805e-08,0.3784762,0.5740308,0.02287834,0.024614524
375,6.341181e-09,0.45293635,0.5063566,0.012788502,0.027918516
376,1.2641549e-07,0.4725557,0.51962256,1.4180861e-08,0.0078215785
377,1.748789e-07,0.49370086,0.46843064,0.024546722,0.013321648
378,6.7150445e-09,0.503436,0.34956878,0.010855739,0.13613945
379,0.04869051,0.4963294,0.38981482,0.018825503,0.04633978
380,0.22149071,0.51132524,0.19111969,0.055245336,0.020818995
381,0.28515083,0.49516362,0.1424153,0.044020455,0.03324977
382,0.39386344,0.44538352,0.05915277,0.07516375,0.026436485
383,0.505596,0.4525838,0.018750396,0.02304587,2.3877772e-05
384,0.53773826,0.36499614,0.03012427,0.04989446,0.017246937
385,0.39526263,0.49455455,0.057264116,0.036070332,0.016848307
386,0.32262486,0.53239673,0.057746097,0.06398603,0.023246206
387,0.21995153,0.55052227,0.15295036,0.06974184,0.006833973
388,0.17569067,0.52898943,0.21952806,0.04848958,0.027302224
389,0.1757392,0.54412186,0.07669827,0.16238014,0.04106051
390,0.044019993,0.47074133,0.25321752,0.23183122,0.00018986817
391,0.08086625,0.38322002,0.09640557,0.37375987,0.0657482
392,0.11188174,0.2528568,0.0643378,0.52711105,0.043812636
393,0.14126238,0.15239856,0.08297533,0.45988292,0.16348076
394,0.17661971,0.15061375,0.10954976,0.41698354,0.14623323
395,0.276259,0.09886534,0.17239603,0.29490408,0.15757559
396,0.3497139,0.09199241,0.18191445,0.19969927,0.17667998
397,0.5334071,0.14350648,0.13272831,0.09657127,0.09378689
398,0.57751894,0.00021477613,0.2558024,0.054762945,0.1117009
399,0.4066672,1.1813386e-05,0.33718163,0.13895181,0.11718757
400,0.23952271,0.19103004,0.3239694,0.08270632,0.16277154
